,number,diameter_measured
0,CP5,124.57730815093844
1,CP6,136.2417129684081
2,CP7,145.02795976810543
3,CP8,156.48032163681708
4,CP9,167.83811262484247
5,CP10,177.17803179199942
6,CP11,191.34277050461614
7,CP12,204.28653494417046
8,CP13,212.81551252611666
9,CP14,228.7686646752421
10,CP15,234.34607685338645
11,CP16,245.42524414936395
12,CP17,254.38089191670318
13,CP18,267.5839907807634
14,CP19,275.67412630589547
15,CP20,285.1583649988128
